"view_count"	"like_count"	"dislike_count"	"duration"	"id"	
143410	4958	68	2897.0	"B3PDasy-yxQ"	
154096	6401	43	1898.0	"pADhJw6CO_s"	
473593	17142	172	2327.0	"usUC-6TxsEM"	
153041	5722	71	2732.0	"sMWxliNbVW8"	
812733	24478	308	2203.0	"tEXcTyb0uj0"	
175507	6453	68	2411.0	"gWSQtmQCaNQ"	
183181	7541	57	2231.0	"dcHdreTKqSw"	
437143	15711	112	2062.0	"LrgLaL-M3uI"	
148854	5977	52	2257.0	"BNdB1N5NqRw"	
169852	6760	60	2915.0	"heEKVnJUOWs"	
241913	10558	64	1516.0	"3wJwmuZZSIk"	
160058	6376	61	2092.0	"50ixv8bDpQg"	
134511	5401	41	2556.0	"35QgAndkBqg"	
246313	10804	65	1657.0	"ScvbulGKgdQ"	
164179	6650	44	3247.0	"UJCok3dAuXY"	
172939	7039	53	2326.0	"WsvXjreu9jg"	
309784	7645	132	2971.0	"bIu0LGRP3JE"	
358692	17214	160	1728.0	"41IvEnE1QGw"	
148950	5757	92	1662.0	"cganNjTMB48"	
160112	6997	52	1816.0	"ZuIlzsRmypo"	
169570	6803	56	2304.0	"9r0a9smrU-Y"	
160491	6696	52	2055.0	"yhOJvXhEl-E"	
246530	10748	60	1750.0	"RH5SSPYr0ok"	
165508	6502	66	3353.0	"bK4NwTv6tcA"	
172153	6891	64	2233.0	"UFgOOwCf-Gg"	
180606	7144	58	2179.0	"OpU9ijAxuzw"	
173520	7761	47	2164.0	"gINWMu0auOA"	
176321	7667	53	2240.0	"M4-At6jCQxU"	
188050	7262	50	2625.0	"Cg3SavJzOVs"	
244839	11196	63	1533.0	"KE7qlKXt0-M"	
186742	7715	62	2195.0	"zimoFOmYFpk"	
181232	9281	62	3439.0	"bEqpN8PZXd0"	
192850	7802	76	1948.0	"zRfw5fjg4BA"	
200731	8407	67	2164.0	"53ztAB2jnGo"	
213201	8701	74	2289.0	"qMOCZyBW3Vg"	
272266	12140	78	1835.0	"N2nxzAWl4TU"	
223685	8172	77	1869.0	"2qn0GHodZLE"	
232119	9510	79	1583.0	"C_ecg_VRFsw"	
308812	12478	137	1808.0	"M4sZ9tOcAZs"	
312224	14047	108	1695.0	"5o5IMjDp4LI"	
384608	15476	245	2228.0	"rm5GPAoEsCc"	
318085	13747	118	1917.0	"HKwPRN2FgZY"	
309661	15405	137	1724.0	"k05IM-LHJR4"	
323979	14077	85	1834.0	"6Ymu4lWqENA"	
298811	13655	120	1584.0	"w-bEh43LHZY"	
314124	14389	63	1423.0	"KqyQr3truy4"	
350001	16493	60	1272.0	"KZcJQO0BIng"	
512413	24069	115	1785.0	"Y4HmxnAj6fQ"	
259680	10198	70	1758.0	"oiwk6dtF3tQ"	
38634	2114	51	1774.0	"spvbAObyqwo"	
28420	1426	10	2051.0	"q4tGzHNuONQ"	
27429	1353	17	1710.0	"hLEs6mlhHms"	
494194	22057	191	2930.0	"_3Fpg7z9-YQ"	
28195	1592	27	1966.0	"QSEUnvhzXDU"	
26957	1506	28	1527.0	"gl3W61TzzM0"	
32313	1440	16	2146.0	"d41jJU5DLO0"	
289040	12069	112	1988.0	"sZjhn80auwQ"	
33841	1661	22	2098.0	"IyPipkIt5eI"	
32700	1646	21	1940.0	"oYNJzLvsfA0"	
167788	8380	44	2167.0	"wobnnMmV8Lw"	
28207	1463	21	1711.0	"F8inNGEL_cg"	
35844	1685	40	1619.0	"9yMyd0HC_S0"	
35745	1809	26	2163.0	"-NAUEa4uGEc"	
195190	8550	54	1497.0	"9pnqOkIr3Xo"	
32371	1763	31	1593.0	"vnKYymfuAQk"	
42380	1980	57	1890.0	"jqvFxJEJbtg"	
37541	1935	46	1714.0	"sZR-I1kMRnM"	
43719	2066	60	1808.0	"NQnw5XRDlvQ"	
314637	13062	88	1540.0	"HeeNHBqV9Kc"	
47728	2337	37	1901.0	"KsK91PXUT48"	
42441	2168	40	1421.0	"iGVNwnWW_Fg"	
297581	10327	73	2079.0	"2JskIa1Cr3U"	
47305	2337	75	1432.0	"BwElXPRSnME"	
54533	2735	55	1672.0	"0TNP16zNcnE"	
57763	2867	41	1657.0	"_GRSZyEs0GY"	
212141	9390	58	1716.0	"H40WwTZGmVs"	
66200	3229	109	1553.0	"YzUGG9ReuEI"	
82982	3752	79	1531.0	"wtE4cjT6yeE"	
83818	4069	83	1574.0	"epM2_rXKuQY"	
190931	9128	69	1455.0	"KF8yZKBLzMw"	
108754	5293	136	1809.0	"hP5NeM5i-2E"	
193139	11678	222	1415.0	"oFEp0qX5duw"	
370138	13232	93	2108.0	"0z_PFlYMvPs"	
221836	9079	74	1701.0	"IBNW9AH4r8w"	
339216	13872	114	1516.0	"YaISyzMy3_o"	
198239	9266	52	1522.0	"oxmpUQ5AqNA"	
235815	9861	79	2409.0	"DtzizHzr2Ds"	
380367	14905	114	1618.0	"iZlaLHoJ2xY"	
249041	9434	83	2131.0	"ZRnVNHSE7pg"	
436484	14660	133	1772.0	"Sljwp0kTW-U"	
216746	11388	51	2164.0	"fDlD7RDDUtY"	
79547	6275	100	1775.0	"rw8ZhAQ1qR0"	
267885	11558	100	2728.0	"KCkqAWHUQ8E"	
235417	9620	57	1705.0	"rC0UjqohOWo"	
222651	9725	56	1833.0	"DTiQ8EjRxJs"	
240052	10931	67	1852.0	"QbyCKmaZnWU"	
245029	10589	65	1979.0	"QnL-Je6uTdY"	
382916	11875	123	1786.0	"TmX_RRMLFME"	
235931	9995	76	1809.0	"meSIp50ymkU"	
222787	10217	51	1595.0	"AgOonpNJM6k"	
236478	10093	59	1691.0	"vVzI42mnW8M"	
254616	12145	74	2072.0	"mNbGOFsoVE8"	
267988	10909	61	1805.0	"jocgCNQfDmQ"	
393147	12398	132	1730.0	"KS2TMrCLnvg"	
257880	12379	72	2068.0	"Bu2ITOOU_wk"	
281124	11968	58	1762.0	"sgFTvDjDqOY"	
96340	7355	130	2112.0	"fkfPqtKxaIU"	
283029	11199	86	2428.0	"pjz4XLQlj04"	
310120	13047	103	3756.0	"C6IyIgr8zy4"	
247908	10453	46	1897.0	"jQQGFSLh_z8"	
386615	18547	103	1780.0	"GbzSVcyiWP0"	
369315	12671	94	1282.0	"JR4NtkQKPN0"	
237620	10055	72	1811.0	"2u78Oz6-bhk"	
145665	5908	72	1850.0	"5LL_VxBNxa8"	
235901	11338	56	2008.0	"K2KXgwmI8Cg"	
233640	10845	69	1975.0	"JVCgqewYmZU"	
511987	12828	153	1752.0	"tr3LhCdxSn4"	
254988	10309	79	1845.0	"GvkC5ATqCyU"	
114865	6078	39	898.0	"sQVNWj5Bb8I"	
234511	10580	60	1668.0	"lWNCwlrboBU"	
527633	12473	162	1644.0	"UazAdxaYlVU"	
123491	5358	38	1224.0	"Tu0CPUyuB9g"	
177054	8308	67	1316.0	"bIEcxD8M6eM"	
173830	8398	220	1824.0	"E8RYF5kRL-0"	
242527	10148	64	1789.0	"ALJbD57o2E4"	
149215	7858	83	1576.0	"uHBXzIaHoeE"	
244246	10158	75	1700.0	"pLmmnyuF_KQ"	
109693	8406	166	1953.0	"ztyrhJ-Dp1o"	
820515	20587	294	1630.0	"dc9QynhlsOs"	
251900	10500	68	1593.0	"0QfBPpdGE2I"	
227304	9648	57	1579.0	"pHXrvKeT1Wc"	
3214661	46849	1301	5428.0	"ULcdBpWb2No"	
228255	10056	56	1705.0	"C1a3JRilwFU"	
251765	9726	60	2027.0	"WokDovM7BwI"	
238477	10143	61	1668.0	"Qb_Qz2bk4xQ"	
308877	13854	111	1386.0	"wyEIcii_9pk"	
245235	9996	78	1790.0	"zwDVQRN5Jv0"	
244583	9768	85	1480.0	"XjlO6huWVqI"	
281519	10646	100	1923.0	"nomVzrORKww"	
335881	14790	168	2267.0	"CBeIq96sI3w"	
296305	11956	94	2342.0	"ZJnfckTtPAM"	
263541	10692	70	1527.0	"uU1wQ_drZOQ"	
273358	11087	67	1833.0	"eh2aJH7EkIQ"	
283853	11244	64	1829.0	"8XfZQ_sglHM"	
382080	18965	140	1843.0	"J6ofGSrK5W4"	
87972	3585	64	1395.0	"s9uYaFKyzks"	
72743	3275	43	1397.0	"gx1mADUHZ9c"	
75571	3444	54	1380.0	"XFjSIOl4sqs"	
261793	10268	73	1688.0	"bERl2i_HBHA"	
82886	3603	61	1635.0	"sI5YSSgGP3U"	
82874	3787	66	1413.0	"BMqs1Mbc77w"	
260023	10482	58	1649.0	"yWy1dD09s2Q"	
78791	3407	139	1334.0	"-iGK7JDmArg"	
79533	3668	67	1504.0	"GJJxC8VYhW0"	
83283	3933	124	1169.0	"79s9ybKd7OI"	
87643	4243	67	1267.0	"IkbhRLAy0PY"	
250706	10355	77	1706.0	"1cnHjDpzGjg"	
96116	4343	74	1373.0	"8K3mS3TnOR8"	
98333	4831	49	1397.0	"GrwuQpo3B4Y"	
110801	4835	64	1310.0	"_XxaSBQLFh0"	
107315	7013	76	1555.0	"0tGNKOhW0r4"	
101797	4681	58	1254.0	"uN0l1q-qmD0"	
111151	5095	135	1295.0	"Z3DS5_0fTO8"	
120416	5345	52	1334.0	"xrQ4RrtA0Pc"	
252935	10923	62	1652.0	"KmqHWPDV2Kc"	
120461	5600	74	1304.0	"Rcm_ay6lNZY"	
131192	5774	87	1222.0	"p08es0k4Dg8"	
67585	3499	40	1948.0	"eovkjtLvvR8"	
196928	9735	148	1418.0	"WNkyMfrhZgQ"	
64640	3100	35	1236.0	"tAjIjijoUBY"	
70694	3269	37	1238.0	"Jk0BXR0pK-E"	
267745	10586	114	1843.0	"igEev6qaJQM"	
64006	3288	34	1233.0	"tuRug51IOgQ"	
72173	3783	36	1239.0	"dwwLEio8qio"	
256883	10411	56	1919.0	"fggGzrq9XBY"	
69586	3421	42	1231.0	"QyZduhT0xQw"	
70156	3275	53	1214.0	"5LGWQPwHahc"	
86983	3994	74	1224.0	"sic0OKiI5tI"	
327908	13446	107	1818.0	"U39oJmcD9wM"	
93720	3941	61	1215.0	"JS1jDm5GLQE"	
96665	4492	44	1216.0	"kqxeuhF-tzg"	
269663	10488	58	1694.0	"d0aahg9CCFg"	
106968	4328	72	1215.0	"Qv-UAkY-JzQ"	
180068	13027	112	1473.0	"FvDcunH5hqM"	
195280	10220	106	2139.0	"42jiWcWvrDk"	
284580	10835	81	1899.0	"FpADvxImTdg"	
303850	10781	64	1944.0	"hZC67_ZeEQc"	
362379	15211	119	1580.0	"nZpS1NneaZk"	
295522	10488	82	1808.0	"41lCiaeJ7ik"	
167370	11652	79	1402.0	"YuFbaA94GnA"	
154525	8948	46	1207.0	"UojlwpuIA1U"	
291869	11179	73	1609.0	"Y-1sF7dfFWA"	
155260	9123	42	1212.0	"_jlX57mA1ew"	
148634	9265	48	1211.0	"ODp-3kVNQg0"	
357710	14749	126	1500.0	"J5YuH1LV4-4"	
154291	7208	56	1215.0	"HI-MTlghhHA"	
166345	7191	57	1225.0	"4zFNm1v5zj4"	
155412	7302	49	1216.0	"GhpSTVtXwQg"	
162846	8042	55	1203.0	"-0_QK2Y6zDE"	
176009	9865	64	1204.0	"2ARdfM1zmrA"	
186061	12339	63	1214.0	"qBysGlVU520"	
310148	11690	74	1604.0	"nmk-JU8csas"	
213414	10466	71	1208.0	"vAzh3pTLb5U"	
304979	11995	81	1546.0	"Fcbfeu1OLeg"	
290866	11108	131	1389.0	"Sdx3mhEbbXg"	
372949	15314	110	1577.0	"aSzaiDPDOZc"	
296765	10311	74	1523.0	"E4WiXICHoBk"	
297586	11564	62	1353.0	"pYelMnjy4WY"	
254259	12007	183	1515.0	"2iCxw0D3ryg"	
